n,rep,alpha,r,sw_TAVIE,sw_ADVI_mf,sw_ADVI_fr,sw_DADVI,time_NUTS,time_TAVIE,time_ADVI_mf,time_ADVI_fr,time_DADVI,num_true_samples
200,1,1.0,10,0.007944683091492905,1.4636178213691264,0.9616373553102951,0.005415770423692727,8.170465042000004,0.015293791999994255,1.466467458000011,1.9614402919999918,1.0763011250000005,8000
200,2,1.0,10,0.008011788698229994,0.8030924953349596,0.8963773067153077,0.005899015063434437,8.032301625000002,0.014681875000007949,1.1263252920000042,2.0451689589999944,0.5488387090000089,8000
200,3,1.0,10,0.008264587547672168,0.9946773377027612,0.5724511378622033,0.005464289743547619,8.263531166999996,0.011244791999999393,0.6797993749999875,3.614373958000016,0.5942261250000058,8000
200,4,1.0,10,0.008433182242946884,0.9215087055647512,0.5905299288361128,0.005558249543784235,8.369713458999996,0.01139329200000816,0.6886940839999909,3.662395041999986,0.5852720000000033,8000
200,5,1.0,10,0.007464280314659572,0.6999021153930715,0.27083156223559185,0.005758012332388509,8.005976542000013,0.013596167000002879,2.4423625000000015,6.329635292000006,0.6212637499999971,8000
200,6,1.0,10,0.007653907467720539,1.1462526601443659,0.15878826747778868,0.005957191094606041,8.242280541999975,0.012503249999980426,0.8054832079999983,7.342747875000015,0.550237041999992,8000
200,7,1.0,10,0.00849636679514351,1.1255736164526706,0.613656117491074,0.004498348906630653,8.042233707999998,0.01392391699999962,0.773165750000004,6.248321333000007,0.5774010830000122,8000
200,8,1.0,10,0.00645024594693246,1.1705812591287552,0.36571889533566493,0.005651354277619019,7.956746707999997,0.009155584000012595,0.6978610419999995,4.812547833999986,0.8510190410000007,8000
200,9,1.0,10,0.008009921738024893,0.7328174691004947,0.5888791962399959,0.004984899347196869,8.268797916000011,0.016075999999998203,1.155681708000003,4.142156333000003,0.5783509169999945,8000
200,10,1.0,10,0.007613007791048025,0.8039523834376208,0.5680593504906198,0.004371843580016826,8.432781917,0.013100792000017236,0.7700972079999815,3.20326,0.5513556669999957,8000
500,1,1.0,10,0.005533245613338978,0.7696157937642131,0.5853049059146954,0.0034891163651380288,9.684432958000002,0.021961083000007875,1.1325747500000034,4.542360957999961,0.736598416999982,8000
500,2,1.0,10,0.005720053449562084,1.0225623365395173,0.47822968170463864,0.0031346692503434414,10.073488166999994,0.050398250000000644,0.78407045900002,6.156968042000017,0.6184049999999957,8000
500,3,1.0,10,0.005455671276734333,1.6821094077795486,0.796868449205443,0.005021314454839219,9.680986958999995,0.02003683399999545,0.23877954199997475,3.1691193340000154,0.6426994580000382,8000
500,4,1.0,10,0.005017686261310112,1.63381759400359,0.8133337937774536,0.0027287995931147817,10.801562958000034,0.02110691699999734,0.2468675419999613,3.191462666999996,0.8895748339999727,8000
500,5,1.0,10,0.00525851266529534,0.6930986612580902,0.6093772279256336,0.002669590502336321,10.803905708000002,0.017098291999957382,1.8965524170000094,4.288910084000008,0.665723416999981,8000
500,6,1.0,10,0.005283883657177583,0.9661303115910186,0.6498773332882904,0.0030470174921403254,16.80862004100004,0.025183707999985927,0.7555511250000109,6.010963416999971,0.9578029159999915,8000
500,7,1.0,10,0.005535284949161064,1.0411188341148525,0.38042611952402977,0.002184199073485259,18.416705541,0.04624024999998255,1.0206317500000068,14.843717916000003,0.9159725839999737,8000
500,8,1.0,10,0.005848026297694899,1.0940172299704323,0.8524287180380702,0.0023670118727863727,11.667758625000033,0.054805499999986296,0.6736700409999798,2.869058917000018,0.6894189579999761,8000
500,9,1.0,10,0.005127354143324906,0.8627826637343329,0.8116673918034327,0.0032127185622922187,9.926749583999992,0.0196478750000324,0.9542521249999822,2.5298925420000273,0.7050457089999895,8000
500,10,1.0,10,0.00522892479800816,0.8909300613269947,0.7216145999633332,0.00363893142752579,10.318478332999973,0.020860667000022204,1.0359637920000182,2.5678913340000236,0.6473638749999964,8000
1000,1,1.0,10,0.0037846850344253964,0.7199909761550702,0.791879013254668,0.0021577288171602655,12.596807833000014,0.03464374999998654,1.3827427920000446,2.528807458000017,0.847606374999998,8000
1000,2,1.0,10,0.004019601888237648,0.97096181660572,0.86054290666255,0.001811673250147036,11.727700416999994,0.038803207999990263,1.3385229579999987,2.7786700419999875,1.3058067079999773,8000
1000,3,1.0,10,0.00374559595071371,0.8539499484090791,0.6641291009321519,0.002458950180192141,11.921835542000053,0.03045645899999272,0.926306167000007,3.019921791999991,0.8079817089999324,8000
1000,4,1.0,10,0.004051224547606968,0.8123400102595701,0.9301287308224858,0.002364945918389006,12.077003957999978,0.030298083000047882,1.0587748330000295,1.9992495420000296,0.7641650839999556,8000
