n,rep,alpha,df,sw_TAVIE,sw_MFVI,sw_DADVI,sw_ADVI_mf,sw_ADVI_fr,time_NUTS,time_TAVIE,time_MFVI,time_DADVI,time_ADVI_mf,time_ADVI_fr,num_true_samples
200,1,1.0,5,0.009149003889448913,0.024765017241694956,0.007193370802205607,0.29734035269805864,0.22517645910882345,11.068657290999997,0.009973792000003812,0.005758791000005203,1.4504704170000053,5.967689834000005,8.428760042,8000
200,2,1.0,5,0.01083373748013705,0.01898421550457258,0.01197971755574472,0.7998057731249484,0.4074799424719688,9.073233500000008,0.005629290999991099,0.003196000000002641,0.8827087090000134,1.5578429999999912,5.753612165999996,8000
200,3,1.0,5,0.010266148391314577,0.018995790199499162,0.009327358650933697,0.8965348988854825,0.23419599471141395,9.087234625000008,0.005148542000000589,0.003653584000005594,0.8637652079999896,0.9821157920000019,8.104624291000007,8000
200,4,1.0,5,0.008985983256151768,0.022349389940171244,0.011826716251536886,0.3617375170627934,0.42722470353873315,8.740054874999998,0.004736459000000082,0.002816999999993186,0.8682003329999901,4.3412580000000105,6.0620850829999995,8000
200,5,1.0,5,0.01067345250619561,0.01644541832918565,0.01656182691555144,0.1834245231876533,0.42235050770965166,9.549556208000013,0.006091749999995955,0.0032765409999910844,0.9104820420000124,6.566674042000017,5.21043533400001,8000
200,6,1.0,5,0.009650222567001281,0.020985663460329006,0.006357832478558311,0.41301055781856366,0.27796744926093153,9.347559000000018,0.005865792000008696,0.0037073339999835753,0.8565425830000208,3.896775458999997,6.865706708000005,8000
200,7,1.0,5,0.010317914112805233,0.017430972367513335,0.010371012623289929,0.27601062360246376,0.3552429797178764,8.646577083000011,0.0048810000000116815,0.0036545410000030643,0.8282108749999963,4.744098750000006,5.829744667,8000
200,8,1.0,5,0.010662560433216518,0.01962807594057414,0.013098889017187478,0.35249983654963807,0.2550546712025813,9.740893499999999,0.006241499999987354,0.005300916000010147,1.0245244589999913,6.1965576670000075,8.382257834,8000
200,9,1.0,5,0.009064403250888477,0.021896643201145247,0.006928581237965629,0.24160617649734575,0.5197355632969208,11.814586584000011,0.013160333000001856,0.009324416999987761,1.2332809170000019,6.245910125000023,4.3195514580000065,8000
200,10,1.0,5,0.009783625320843665,0.02196511791802257,0.011905323599755671,0.8977418606560518,0.6615554347732703,8.565680750000013,0.005485042000032081,0.003609249999954045,0.8463235420000501,0.9839681670000004,3.2677758329999733,8000
500,1,1.0,5,0.005502604440308583,0.010159170750537199,0.003992689970189479,0.42009954577616754,0.3848674061383134,9.809486832999994,0.0057696670000382255,0.0035121249999860993,0.9547402090000219,3.6832129999999665,5.570987416999969,8000
500,2,1.0,5,0.005610870825345072,0.008276799189235372,0.0042644841406096765,0.3037222230961679,0.21387679942748433,9.45022045799999,0.006597583000029772,0.0037557919999926526,0.9438476249999894,4.903611791999992,8.243203999999992,8000
500,3,1.0,5,0.005599196054636749,0.008174052103884841,0.007475534082610896,0.2150282690634375,0.6689757205856172,9.721783500000015,0.007886250000012751,0.009619874999998501,0.9555251250000083,5.618909709000036,2.950476041999991,8000
500,4,1.0,5,0.005073976268948423,0.009020766156801927,0.00403302878800645,0.7896566184864116,0.8134627288506553,9.720784209000044,0.007098666999979741,0.004495584000039798,0.9161680830000023,1.589967209000008,2.1212013329999877,8000
500,5,1.0,5,0.0051389619625107855,0.007840979902753937,0.007927881011194836,0.8052574087159959,0.9388333893664174,9.337040749999971,0.006056291000049896,0.003425542000002224,0.9094678330000079,1.4267869170000154,1.201772333000008,8000
500,6,1.0,5,0.005014992223880819,0.008995677007906745,0.008384085197770227,0.5125612242799078,0.3022439448577816,9.731696209000006,0.005787124999983462,0.0035894999999754873,0.9258891250000261,3.0930934160000447,6.387095041000009,8000
500,7,1.0,5,0.006027103794260723,0.008087596353130331,0.00786979126986738,0.7436384562442633,0.7812845890387935,9.367798125000036,0.005870708000031755,0.003714042000012796,1.2319746670000313,1.737345041000026,1.8885883330000297,8000
500,8,1.0,5,0.005340165756116657,0.00940131007825097,0.006604604334283878,0.8861764495012932,0.7045598195647954,9.734594291999997,0.006467083000018192,0.0044082079999725465,1.1251285000000166,1.128447584000014,2.839907750000009,8000
500,9,1.0,5,0.005583541516271797,0.008408411008747707,0.0065168792509928564,0.17427725694351484,0.6302547647003676,10.653896959000008,0.006781959000022653,0.004076791999978013,1.0139738750000333,6.793716125000003,3.2097330409999927,8000
