n,rep,alpha,sw_TAVIE,sw_ADVI_mf,sw_ADVI_fr,sw_DADVI,time_NUTS,time_TAVIE,time_ADVI_mf,time_ADVI_fr,time_DADVI,num_true_samples
200,1,1.0,0.01907987784798422,0.43002147652348915,0.42199730499984367,0.009774886733995562,13.408161541000027,0.015528666999898633,4.223358292000057,4.901573541999824,1.8780476669999189,8000
200,2,1.0,0.021355435877694232,0.23249722934306366,0.26343541006881493,0.013333207408224405,14.000798375000159,0.006771666999838999,5.3670913330001895,6.5999188749999576,1.5493827499999497,8000
200,3,1.0,0.01787680797451872,0.6768937242079919,0.5367008585670512,0.012972092150971878,16.0397815419999,0.018409166999845183,2.8754185000000234,4.125428416999966,1.8372871669998858,8000
200,4,1.0,0.018457422580578288,0.2075029595703017,0.7730566861397172,0.009314998870276937,13.42411987499986,0.007301458999791066,6.151842084000009,2.2660809159999644,1.5891938329998538,8000
200,5,1.0,0.016029795403584835,0.49355637407206077,0.7231949509816803,0.010188762562608495,13.531503667000152,0.0071625840000706376,3.733012707999933,2.770181875000162,1.5509412920000614,8000
200,6,1.0,0.018737003480021285,0.8178219689303434,0.2374302736041765,0.008649710357110322,13.360493667000128,0.008158624999850872,2.5373270000000048,7.530170917000078,1.5406355419997908,8000
200,7,1.0,0.01761590072366943,0.41015294480416736,0.8209297575366871,0.011076491307201763,13.537081124999986,0.00689391700007036,4.1434056670000246,1.986421749999863,1.5114164579999851,8000
200,8,1.0,0.018560759634701596,1.0389273048313548,0.3197587508894036,0.00867225854370385,13.436680333999902,0.0060950839999804884,1.8091315409999424,5.975140666000016,1.0744329169999673,8000
200,9,1.0,0.018529185717241277,0.36612082414785174,0.31212696785419813,0.013617367511186763,13.795268375000205,0.0074007499999879656,4.425529665999875,6.415336582999998,1.111661124999955,8000
200,10,1.0,0.0233874905559681,1.3571935625155296,0.19905114748026437,0.011649943407033245,13.720504166999945,0.0083697499999289,0.7819555840001158,7.5413654999999835,1.3407020829999965,8000
500,1,1.0,0.011253692745115134,0.28268428635481335,0.5109964507258954,0.00391080878253875,13.606982499999958,0.012185834000092655,4.835017792000144,3.9777378339999814,2.354443333000063,8000
500,2,1.0,0.011781132560556518,0.3336718525075421,0.2892508800339493,0.005054461842820345,14.54357691700011,0.012143166999976529,4.338554124999973,6.090721792000068,2.4041432080000504,8000
500,3,1.0,0.011759265339632967,1.2917216797929383,0.634341312480774,0.004770276558236376,13.113793290999865,0.011594624999816006,0.9440788749998319,3.2152096669999537,2.3630386249999447,8000
500,4,1.0,0.01216427928019474,0.5976995353397556,0.6373405375582203,0.0048894663892911135,13.565312208000023,0.01300316600008955,3.1502477080000517,3.153067749999991,2.5123511670001335,8000
500,5,1.0,0.012795880389509346,0.5194276225181839,0.2151315695644872,0.006535715309092586,14.128907457999958,0.012787582999862934,3.202541999999994,7.36075879100008,2.3705349580000075,8000
500,6,1.0,0.009774706807869009,0.688818090923881,0.5509109846082573,0.008486732122083247,13.416039500000124,0.00853791600002296,2.802003582999987,3.8440324170001077,2.362043584000048,8000
500,7,1.0,0.014063988785668845,0.2740841106678689,0.25250545233646243,0.010497035357584833,13.542119834000005,0.013742084000114119,4.649044957999877,6.628123166000023,2.5697564160000184,8000
500,8,1.0,0.0118441162039168,0.21139151387693783,0.8595628253884527,0.007945203300575526,13.358045167,0.009941167000079076,5.788651334000178,1.689532250000184,2.3613932079999813,8000
500,9,1.0,0.012277284352033974,0.29836761973820514,0.2572735350526852,0.005071705198902032,13.510160625000026,0.009880500000008396,4.456318083000042,6.390058916000044,1.6403251250001176,8000
500,10,1.0,0.011253642440912454,0.4565946207398085,0.888410767601852,0.006056312503136601,13.234973874999923,0.010206666999920344,3.6352988749999895,1.4824956669999665,1.768435375000081,8000
1000,1,1.0,0.007818091458541707,0.16178733109244528,0.518500982630427,0.002782203662469263,13.786880875000179,0.013842834000115545,6.855293832999905,3.9821925829999145,3.6600715409999793,8000
1000,2,1.0,0.007572465548487905,1.145703543699166,0.9203535070565568,0.004027109773996664,13.049083749999909,0.014803625000013199,1.5815425420000793,1.4190774169999258,3.63829629199995,8000
1000,3,1.0,0.008045802426361662,0.9741286858255972,0.6636497355271388,0.004126336474534482,13.001472250000006,0.014415749999898253,1.9055940420000752,2.899427874999901,3.6136772080001265,8000
1000,4,1.0,0.0073630532409490156,0.17242401928517098,0.3357559308146665,0.004965527750988834,13.128974208999807,0.012326041000051191,6.7468241249998755,5.686913042000015,3.6345283749999453,8000
1000,5,1.0,0.008584389854443522,0.8501780451805673,0.21396495003682398,0.005217649039953546,13.468151167000087,0.013365667000016401,2.242319875000021,7.897741167000049,3.637885833999917,8000
1000,6,1.0,0.00826991621100018,0.16483888860262297,0.26948666558066875,0.004940663324846264,12.870827625000175,0.015580582999973558,6.6101369579998845,6.424016417000075,3.6019143749999785,8000
1000,7,1.0,0.008559570860802725,0.2698581959787464,0.20396536852403538,0.005903498354934819,13.818241665999949,0.01591237499997078,4.905121041000029,7.94538687499994,3.6182163330001913,8000
1000,8,1.0,0.008663054449852532,0.19941570189521868,0.8578569126548908,0.006030101930259361,13.363961625000002,0.015314291999857232,6.046657874999937,1.5962012919999324,3.6319164590001947,8000
1000,9,1.0,0.00787341280075411,0.360588486714257,0.2454636438372584,0.003958058666245484,13.33121466700004,0.01408791700009715,4.208730082999864,6.967681792000121,3.6345501250000325,8000
1000,10,1.0,0.008212918368035602,0.1549745840328235,0.6312552544128541,0.004600251644883091,13.998747040999888,0.01482199999986733,6.848049708999952,3.0479646249998495,3.622625375000098,8000
2000,1,1.0,0.005419934805329654,0.4145506402237735,0.15450883698860304,0.003285406114310546,12.702440917000104,0.022885500000029424,3.99946595900019,10.47844033299998,5.6530465829998775,8000
2000,2,1.0,0.0058163397633686975,0.17159727945644804,0.6142480092164401,0.004782000181819951,12.160941459000014,0.025947374999987005,7.2123966660001315,3.2482754160000695,5.829102958000021,8000
2000,3,1.0,0.005499521085355939,0.20032990703728581,0.8061309567081609,0.004937001290688927,13.261456707999969,0.022782833000064784,5.8852322499999445,2.0812746659998993,5.574502250000023,8000
2000,4,1.0,0.0057513398090809215,0.1637212592041758,0.29016231765725,0.003913156334112735,12.617822583000134,0.024298083000076076,7.467387333999795,6.22000012500007,6.240292667000176,8000
2000,5,1.0,0.0054069954081731745,0.29126156155238764,0.8791948002746867,0.0031509698927486463,13.197397416000058,0.03136612499997682,4.869445292000137,1.799359000000095,5.665842791999921,8000
2000,6,1.0,0.005589845886993156,0.1856372475725246,0.22753130837913466,0.003008913515741937,12.655146791999869,0.01979599999981474,6.2368539170001895,7.794404499999928,5.975338834000013,8000
2000,7,1.0,0.006056893389834008,0.18356384109344556,0.45062742357826985,0.0022674353826478925,13.422619750000194,0.025679458000013256,6.230436415999975,4.356502291999732,5.968736083999829,8000
2000,8,1.0,0.005814466548915324,0.1660891129380877,0.17582507189927812,0.0030796741863997525,12.381103583999902,0.02320895799994105,7.098769542000355,8.7876880419999,6.179714916000194,8000
2000,9,1.0,0.005452615545475844,0.22345967122490532,0.5111944546994875,0.004005203635135716,12.24481783400006,0.021495874999800435,5.425408541000252,4.142020250000314,5.7180823749999945,8000
2000,10,1.0,0.005865137986059166,0.6362739172134629,0.9412497634653846,0.003244020084961283,13.372202583000217,0.02305754100007107,2.8725686249999853,1.1677614169998378,5.573268833000384,8000
