n,p,time_mean,time_std,time_se
100,30,0.0001398838304795,3.425719954917295e-05,1.0833077683427988e-05
200,30,0.0001571073250223,1.5088373297188097e-05,4.771362580597902e-06
400,30,0.0004798223346915,0.0001472913231781,4.6577606082303985e-05
800,30,0.0008774938371159,0.0002558038570718,8.089228226031653e-05
1600,30,0.0023707122997338,0.0029425786582076,0.0009305250754138
